structure_id,fire,damage,roof_material,side_material,ground_deck_material,elevated_deck_material,eaves,vent_screen,window_pane,patio_cover,fence,coordinate_x,coordinate_y
10991,palisades,affected (>0-10%),asphalt,masonry,masonry,wood,n/a,n/a,multi pane,combustible,combustible,127421.449257021,-441066.912225319
10992,palisades,destroyed (>50%),asphalt,wood,masonry,n/a,n/a,n/a,n/a,n/a,combustible,135093.528584613,-440053.607167605
10993,palisades,no damage,wood,wood,wood,n/a,n/a,n/a,multi pane,n/a,n/a,136707.873750474,-440858.294553289
10994,palisades,no damage,asphalt,wood,n/a,n/a,unenclosed,n/a,multi pane,n/a,combustible,127861.79282463,-438552.640387574
10995,palisades,no damage,tile,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,combustible,135188.118879223,-440174.750715617
10996,palisades,no damage,tile,masonry,n/a,n/a,n/a,n/a,n/a,n/a,combustible,137749.284082488,-439108.364773205
10997,palisades,no damage,asphalt,wood,n/a,n/a,unenclosed,n/a,single pane,n/a,n/a,135254.989805233,-440346.409008624
10998,palisades,destroyed (>50%),asphalt,n/a,n/a,n/a,n/a,> 1/8 in,single pane,n/a,n/a,135126.703220578,-440884.312747218
10999,palisades,affected (>0-10%),tile,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,n/a,127177.100382375,-440796.845375204
11000,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,non-combustible,132512.608704631,-437075.239677936
11001,palisades,no damage,asphalt,wood,n/a,wood,unenclosed,> 1/8 in,multi pane,n/a,n/a,135263.102323682,-440368.455299262
11002,palisades,destroyed (>50%),asphalt,wood,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,136402.290484894,-439064.56470665
11003,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,single pane,combustible,n/a,134919.812956943,-440156.184900651
11004,palisades,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,n/a,n/a,non-combustible,132278.566181169,-437100.377021713
11005,palisades,destroyed (>50%),metal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,128977.785856183,-437610.946774362
11006,palisades,no damage,tile,wood,masonry,n/a,enclosed,<= 1/8 in,multi pane,combustible,combustible,136701.223124194,-440903.443820056
11007,palisades,affected (>0-10%),tile,masonry,masonry,n/a,n/a,unscreened,multi pane,combustible,non-combustible,124601.706029264,-437955.439408485
11008,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,n/a,n/a,non-combustible,135060.431901005,-440031.670166248
11009,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,135963.195415595,-440714.373257877
11010,palisades,affected (>0-10%),n/a,masonry,masonry,masonry,n/a,n/a,multi pane,n/a,non-combustible,133282.686242359,-440808.686684871
11011,palisades,destroyed (>50%),metal,n/a,masonry,wood,n/a,<= 1/8 in,single pane,combustible,n/a,135064.265678037,-441031.379107311
11012,palisades,destroyed (>50%),asphalt,wood,wood,n/a,unenclosed,n/a,single pane,combustible,n/a,136449.221402469,-436003.749691021
11013,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,unenclosed,> 1/8 in,single pane,combustible,combustible,134884.44789131,-440325.53991909
11014,palisades,no damage,metal,wood,masonry,masonry,enclosed,n/a,multi pane,combustible,combustible,135171.311968331,-440335.332070775
11015,palisades,no damage,asphalt,vinyl,wood,masonry,enclosed,> 1/8 in,single pane,combustible,combustible,135224.073150545,-440546.82996037
11016,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,n/a,135278.545402841,-440901.439947898
11017,palisades,no damage,metal,metal,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,132197.928003191,-437155.85257652
11018,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,n/a,single pane,non-combustible,n/a,129476.509217874,-440789.027606977
11019,palisades,no damage,asphalt,masonry,masonry,masonry,enclosed,n/a,multi pane,n/a,non-combustible,133324.625044817,-440768.880851474
11020,palisades,no damage,tile,masonry,masonry,wood,enclosed,<= 1/8 in,single pane,combustible,non-combustible,136613.60622598,-441600.243216794
11021,palisades,no damage,asphalt,masonry,masonry,masonry,enclosed,> 1/8 in,n/a,n/a,n/a,131192.493762836,-440361.951913597
11022,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,n/a,135093.808191987,-440797.062900636
11023,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,non-combustible,135305.958849423,-440505.402467292
11024,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,unenclosed,> 1/8 in,single pane,combustible,non-combustible,134817.12681328,-440664.457817569
11025,palisades,destroyed (>50%),metal,metal,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,n/a,135211.252688003,-441046.526318936
11026,palisades,destroyed (>50%),asphalt,wood,masonry,wood,n/a,> 1/8 in,single pane,n/a,n/a,136793.545960904,-441193.739031075
11027,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,n/a,n/a,non-combustible,134963.780240847,-440330.978173655
11028,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,<= 1/8 in,multi pane,n/a,non-combustible,135368.946489173,-440296.736607563
11029,palisades,no damage,asphalt,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,combustible,combustible,136922.630058273,-440732.755608013
11030,palisades,destroyed (>50%),metal,n/a,masonry,wood,n/a,n/a,single pane,n/a,n/a,135163.09099572,-440934.641998928
11031,palisades,affected (>0-10%),asphalt,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,combustible,132583.771117616,-440298.206014117
11032,palisades,no damage,tile,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,non-combustible,non-combustible,132497.389549408,-436704.824075013
11033,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,n/a,135328.78089832,-440560.388606556
11034,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,non-combustible,132109.914836046,-440057.901784807
11035,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,non-combustible,135346.120767376,-440293.033115583
11036,palisades,affected (>0-10%),asphalt,masonry,masonry,masonry,enclosed,<= 1/8 in,multi pane,non-combustible,combustible,137650.281046708,-439488.52667868
11037,palisades,affected (>0-10%),tile,masonry,n/a,n/a,unenclosed,n/a,multi pane,n/a,n/a,124393.562402919,-437852.46462536
11038,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,134992.20658986,-440200.89967718
11039,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,n/a,135135.438050525,-440776.939323336
11040,palisades,destroyed (>50%),metal,masonry,masonry,n/a,n/a,n/a,single pane,combustible,n/a,136637.444565299,-440127.98948068
11041,palisades,no damage,tile,masonry,masonry,masonry,n/a,n/a,multi pane,combustible,n/a,128622.011923263,-437551.376725756
11042,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,combustible,135010.944767844,-440376.719836313
11043,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,n/a,n/a,combustible,134951.950661732,-440201.437440168
11044,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,135051.802394893,-440132.717688251
11045,palisades,no damage,tile,masonry,masonry,masonry,enclosed,<= 1/8 in,multi pane,n/a,non-combustible,135581.137179608,-439128.8018525
11046,palisades,affected (>0-10%),tile,masonry,masonry,n/a,enclosed,n/a,multi pane,n/a,n/a,125325.000146525,-438082.724267855
11047,palisades,destroyed (>50%),asphalt,wood,n/a,n/a,n/a,n/a,single pane,n/a,n/a,136467.95883022,-436173.189708129
11048,palisades,no damage,asphalt,masonry,masonry,masonry,n/a,<= 1/8 in,multi pane,n/a,n/a,128748.707220687,-437625.339391774
11049,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,non-combustible,135147.795135058,-440614.204688696
11050,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,n/a,134892.572803846,-440177.688820267
11051,palisades,destroyed (>50%),tile,masonry,masonry,wood,unenclosed,> 1/8 in,single pane,combustible,combustible,135180.450906533,-440629.616890987
11052,palisades,destroyed (>50%),metal,vinyl,n/a,wood,n/a,<= 1/8 in,single pane,combustible,n/a,135075.589858075,-441038.738552449
11053,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,<= 1/8 in,single pane,combustible,non-combustible,135032.086922049,-440787.588996248
11054,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,single pane,n/a,n/a,136089.221649756,-439513.834851187
11055,palisades,no damage,tile,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,combustible,combustible,135255.66484134,-439878.896599265
11056,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,n/a,n/a,n/a,135092.990377966,-440064.98442295
11057,palisades,no damage,asphalt,masonry,masonry,masonry,enclosed,unscreened,multi pane,non-combustible,n/a,124226.625244217,-440002.001896257
11058,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,<= 1/8 in,single pane,non-combustible,n/a,135226.222974882,-440802.700497154
11059,palisades,no damage,tile,wood,masonry,n/a,enclosed,n/a,multi pane,n/a,combustible,135200.864764413,-440076.036254423
11060,palisades,no damage,tile,masonry,n/a,n/a,enclosed,<= 1/8 in,multi pane,combustible,combustible,133967.128635181,-436913.192072101
11061,palisades,no damage,wood,masonry,masonry,n/a,enclosed,<= 1/8 in,single pane,combustible,combustible,135243.221974229,-440253.583509754
11062,palisades,destroyed (>50%),asphalt,n/a,masonry,wood,n/a,n/a,single pane,n/a,n/a,135181.555697813,-440943.340917652
11063,palisades,destroyed (>50%),asphalt,wood,n/a,n/a,n/a,<= 1/8 in,single pane,combustible,n/a,129517.139278679,-440670.241448404
11064,palisades,no damage,tile,masonry,wood,n/a,unenclosed,> 1/8 in,multi pane,combustible,combustible,137622.463062039,-435766.711447535
11065,palisades,no damage,metal,masonry,masonry,wood,n/a,n/a,multi pane,combustible,non-combustible,123557.889512171,-440943.524851106
11066,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,136092.66857199,-440894.22463448
11067,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,multi pane,n/a,combustible,132662.622455154,-437050.907161912
11068,palisades,no damage,asphalt,wood,masonry,masonry,enclosed,n/a,single pane,combustible,combustible,138090.932765354,-438872.515170624
11069,palisades,no damage,tile,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,non-combustible,132832.835425472,-437042.386487862
11070,palisades,destroyed (>50%),metal,masonry,masonry,wood,n/a,<= 1/8 in,n/a,combustible,combustible,135202.528062772,-440997.973103546
11071,palisades,destroyed (>50%),tile,masonry,n/a,masonry,enclosed,> 1/8 in,multi pane,n/a,combustible,135066.283239689,-440051.676162034
11072,palisades,destroyed (>50%),n/a,n/a,masonry,wood,n/a,n/a,single pane,n/a,non-combustible,135150.008682347,-440970.269681664
11073,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,n/a,single pane,combustible,n/a,134951.978811778,-440495.813941099
11074,palisades,affected (>0-10%),tile,masonry,masonry,masonry,n/a,<= 1/8 in,multi pane,non-combustible,non-combustible,125515.729025003,-440974.763427176
11075,palisades,destroyed (>50%),asphalt,wood,n/a,wood,n/a,n/a,single pane,non-combustible,n/a,135275.143850747,-440923.573601576
11076,palisades,no damage,asphalt,masonry,masonry,masonry,unenclosed,unscreened,multi pane,n/a,combustible,135095.622012317,-440527.732419355
11077,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,combustible,135303.020400975,-440177.314569814
11078,palisades,no damage,tile,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,combustible,non-combustible,132822.734275845,-436961.681533644
11079,palisades,no damage,metal,metal,masonry,n/a,n/a,<= 1/8 in,n/a,n/a,n/a,131999.405140534,-437210.282323351
11080,palisades,no damage,asphalt,masonry,masonry,composite,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,135245.672587396,-440499.65969816
11081,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,combustible,136552.141373625,-441220.784449784
11082,palisades,affected (>0-10%),tile,masonry,masonry,n/a,unenclosed,n/a,multi pane,n/a,combustible,124664.771445764,-437846.467162143
11083,palisades,no damage,asphalt,wood,n/a,n/a,unenclosed,<= 1/8 in,multi pane,combustible,non-combustible,135381.60655613,-439740.291096067
11084,palisades,no damage,tile,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,combustible,combustible,138100.967219207,-438830.410084195
11085,palisades,affected (>0-10%),n/a,masonry,masonry,composite,n/a,n/a,multi pane,n/a,non-combustible,133370.957642336,-440525.442497645
11086,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,n/a,n/a,n/a,135908.451102784,-440515.521788869
11087,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,<= 1/8 in,single pane,combustible,n/a,135217.913727745,-440796.980128018
11088,palisades,no damage,metal,metal,masonry,n/a,n/a,n/a,single pane,combustible,n/a,128632.520434827,-437688.414297681
11089,palisades,affected (>0-10%),asphalt,vinyl,masonry,masonry,unenclosed,> 1/8 in,multi pane,combustible,combustible,135606.323566483,-440730.520604597
11090,palisades,destroyed (>50%),asphalt,wood,masonry,n/a,n/a,> 1/8 in,single pane,n/a,n/a,137748.854344802,-439140.637249067
11091,palisades,minor (10-25%),asphalt,masonry,masonry,masonry,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,135321.804263284,-440434.281394906
11092,palisades,no damage,asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,combustible,135242.767479628,-440132.067272536
11093,palisades,destroyed (>50%),asphalt,wood,n/a,n/a,unenclosed,n/a,single pane,n/a,n/a,136484.881880312,-436185.193282366
11094,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,n/a,non-combustible,135064.675363746,-440127.204658937
11095,palisades,destroyed (>50%),asphalt,n/a,masonry,composite,n/a,n/a,single pane,combustible,combustible,135278.806830185,-440821.965326859
11096,palisades,minor (10-25%),asphalt,masonry,masonry,wood,enclosed,<= 1/8 in,multi pane,n/a,non-combustible,135316.911316927,-440465.054606741
11097,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,unscreened,single pane,n/a,n/a,135293.91497678,-440237.394970724
11098,palisades,no damage,asphalt,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,n/a,124077.122872396,-440222.059706686
11099,palisades,no damage,asphalt,wood,masonry,wood,enclosed,> 1/8 in,multi pane,n/a,combustible,135219.119875634,-440340.358717427
11100,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,> 1/8 in,single pane,n/a,n/a,135237.436199436,-440944.19472103
11101,palisades,destroyed (>50%),asphalt,vinyl,n/a,wood,n/a,<= 1/8 in,single pane,combustible,combustible,135056.359216486,-440837.042557323
11102,palisades,affected (>0-10%),tile,masonry,n/a,n/a,unenclosed,n/a,single pane,n/a,non-combustible,127066.851768237,-440224.45452038
11103,palisades,destroyed (>50%),asphalt,n/a,n/a,n/a,n/a,n/a,single pane,n/a,n/a,136459.231137472,-435961.906381818
11104,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,single pane,n/a,combustible,127239.610147064,-440612.404122055
11105,palisades,no damage,asphalt,masonry,n/a,n/a,enclosed,> 1/8 in,single pane,n/a,n/a,135229.483935651,-440194.765056964
11106,palisades,no damage,asphalt,wood,masonry,masonry,n/a,> 1/8 in,single pane,non-combustible,combustible,138077.825923839,-438929.628632592
11107,palisades,no damage,tile,masonry,n/a,n/a,n/a,<= 1/8 in,multi pane,n/a,non-combustible,135256.212432643,-439854.882941967
11108,palisades,destroyed (>50%),asphalt,metal,masonry,wood,n/a,> 1/8 in,single pane,n/a,n/a,135214.936226097,-440825.07935006
11109,palisades,affected (>0-10%),tile,masonry,masonry,masonry,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,136385.482524637,-440644.917891674
11110,palisades,destroyed (>50%),metal,wood,n/a,n/a,n/a,n/a,n/a,n/a,n/a,127856.483794251,-438447.342718856
11111,palisades,affected (>0-10%),metal,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,combustible,135925.505292576,-440417.564779889
11112,palisades,affected (>0-10%),asphalt,wood,masonry,masonry,unenclosed,> 1/8 in,single pane,combustible,combustible,135157.327021906,-440571.096633973
11113,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,135976.47862629,-440825.551278256
11114,palisades,no damage,n/a,wood,n/a,masonry,enclosed,n/a,multi pane,non-combustible,n/a,138050.8964391,-438796.633526325
11115,palisades,no damage,tile,masonry,masonry,wood,unenclosed,<= 1/8 in,multi pane,combustible,n/a,132762.147490831,-437038.398677476
11116,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,<= 1/8 in,single pane,n/a,n/a,135222.97178663,-440963.297369167
11117,palisades,destroyed (>50%),asphalt,wood,masonry,wood,n/a,> 1/8 in,single pane,non-combustible,n/a,134983.444438215,-440877.364355186
11118,palisades,no damage,tile,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,non-combustible,non-combustible,132656.306239809,-436877.859709023
11119,palisades,no damage,asphalt,masonry,n/a,n/a,unenclosed,unscreened,single pane,n/a,non-combustible,135313.054698471,-440187.260963168
11120,palisades,no damage,tile,masonry,masonry,masonry,n/a,n/a,single pane,combustible,combustible,137623.154306619,-440097.504751975
11121,palisades,affected (>0-10%),masonry,masonry,masonry,masonry,n/a,n/a,n/a,combustible,non-combustible,132398.65042684,-440207.485763608
11122,palisades,destroyed (>50%),asphalt,wood,masonry,masonry,unenclosed,> 1/8 in,single pane,combustible,combustible,135390.165399555,-440209.086719006
11123,palisades,affected (>0-10%),tile,masonry,masonry,masonry,enclosed,n/a,multi pane,non-combustible,non-combustible,125133.035897065,-437990.688407624
11124,palisades,no damage,tile,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,combustible,combustible,135177.791803163,-440190.955474244
11125,palisades,destroyed (>50%),asphalt,masonry,n/a,wood,n/a,<= 1/8 in,single pane,combustible,n/a,135143.951170771,-441062.481533997
11126,palisades,minor (10-25%),asphalt,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,combustible,combustible,135338.709395831,-440180.789841659
11127,palisades,no damage,tile,masonry,masonry,n/a,enclosed,n/a,multi pane,combustible,combustible,136983.006267554,-439488.9620938
11128,palisades,destroyed (>50%),n/a,n/a,wood,n/a,n/a,n/a,n/a,n/a,n/a,128802.683104193,-437731.627850896
11129,palisades,no damage,tile,wood,masonry,wood,enclosed,n/a,single pane,combustible,combustible,132932.165921668,-440631.61529918
11130,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,n/a,multi pane,n/a,combustible,135143.850297212,-440924.33513559
11131,palisades,affected (>0-10%),tile,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,combustible,n/a,124479.090598811,-437640.204429552
11132,palisades,affected (>0-10%),metal,masonry,wood,wood,unenclosed,> 1/8 in,multi pane,combustible,n/a,131480.570406618,-440785.480952468
11133,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,n/a,single pane,n/a,n/a,135187.195187418,-440921.878305342
11134,palisades,minor (10-25%),asphalt,wood,masonry,n/a,unenclosed,n/a,n/a,n/a,n/a,125090.508827445,-440968.993727429
11135,palisades,no damage,asphalt,wood,masonry,n/a,enclosed,n/a,multi pane,non-combustible,combustible,135281.444251374,-440132.64516576
11136,palisades,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,single pane,n/a,combustible,135275.16744763,-439866.849076763
11137,palisades,no damage,tile,masonry,n/a,n/a,enclosed,n/a,multi pane,n/a,n/a,125299.059840485,-439506.875973487
11138,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,n/a,single pane,n/a,n/a,129455.103592694,-440778.766950617
11139,palisades,destroyed (>50%),tile,masonry,n/a,n/a,unenclosed,n/a,n/a,n/a,n/a,125396.36888367,-437938.297103571
11140,palisades,no damage,asphalt,masonry,masonry,composite,unenclosed,> 1/8 in,single pane,n/a,non-combustible,135169.947681265,-440286.01836138
11141,palisades,destroyed (>50%),asphalt,metal,masonry,n/a,n/a,n/a,single pane,non-combustible,n/a,135141.2194621,-440825.444830533
11142,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,n/a,n/a,combustible,n/a,135245.733198336,-440953.300906297
11143,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,combustible,combustible,134917.117516969,-440556.792546915
11144,palisades,affected (>0-10%),tile,masonry,masonry,masonry,unenclosed,n/a,multi pane,n/a,combustible,132942.265526149,-440675.720350446
11145,palisades,no damage,tile,masonry,masonry,n/a,unenclosed,n/a,single pane,combustible,n/a,133425.430296785,-437027.750356795
11146,palisades,no damage,asphalt,masonry,masonry,wood,unenclosed,> 1/8 in,multi pane,n/a,combustible,135197.485526121,-440210.079519002
11147,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,> 1/8 in,single pane,combustible,n/a,135402.667720241,-440151.021329258
11148,palisades,no damage,asphalt,wood,masonry,composite,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,137687.258115977,-439461.376407491
11149,palisades,no damage,masonry,masonry,masonry,wood,enclosed,n/a,multi pane,combustible,non-combustible,137010.316768839,-439484.806166261
11150,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,unscreened,multi pane,n/a,n/a,127654.470412352,-440794.73269935
11151,palisades,destroyed (>50%),tile,masonry,masonry,masonry,unenclosed,> 1/8 in,multi pane,combustible,non-combustible,134941.38522906,-440437.664339229
11152,palisades,destroyed (>50%),tile,masonry,masonry,n/a,unenclosed,n/a,multi pane,n/a,n/a,129408.781220486,-440754.339038825
11153,palisades,no damage,metal,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,combustible,n/a,136852.676782914,-441050.37872724
11154,palisades,no damage,tile,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,n/a,non-combustible,133918.504904434,-436852.717463877
11155,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,n/a,135130.443048957,-441059.950786293
11156,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,<= 1/8 in,single pane,n/a,combustible,132723.043236977,-437391.012445122
11157,palisades,no damage,asphalt,wood,masonry,n/a,unenclosed,> 1/8 in,multi pane,combustible,combustible,123046.445796172,-440859.24487892
11158,palisades,no damage,tile,wood,masonry,n/a,n/a,n/a,multi pane,n/a,non-combustible,131764.239235419,-436299.163599359
11159,palisades,no damage,asphalt,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,133509.971616738,-440288.179166906
11160,palisades,no damage,asphalt,wood,masonry,n/a,unenclosed,n/a,n/a,combustible,combustible,137764.781406949,-439243.670967186
11161,palisades,no damage,masonry,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,combustible,non-combustible,135268.991433576,-440400.674867999
11162,palisades,no damage,tile,masonry,masonry,masonry,enclosed,> 1/8 in,multi pane,non-combustible,non-combustible,132708.889244227,-436851.663541311
11163,palisades,no damage,metal,metal,wood,n/a,n/a,n/a,single pane,combustible,n/a,128623.707350852,-437708.218846317
11164,palisades,destroyed (>50%),metal,wood,masonry,n/a,n/a,n/a,single pane,n/a,n/a,124314.372260277,-440535.395374438
11165,palisades,no damage,tile,masonry,masonry,masonry,n/a,> 1/8 in,multi pane,combustible,n/a,132569.858149067,-436853.965425797
11166,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,n/a,n/a,n/a,n/a,135848.13626664,-440865.032346424
11167,palisades,no damage,metal,masonry,masonry,wood,unenclosed,<= 1/8 in,multi pane,combustible,combustible,128948.171213142,-437355.089730624
11168,palisades,affected (>0-10%),tile,masonry,masonry,masonry,enclosed,<= 1/8 in,multi pane,n/a,non-combustible,123895.845823689,-440205.018455798
11169,palisades,affected (>0-10%),tile,masonry,masonry,masonry,unenclosed,unscreened,multi pane,combustible,non-combustible,133075.974432835,-440740.261839088
11170,palisades,no damage,tile,masonry,masonry,wood,unenclosed,<= 1/8 in,multi pane,combustible,combustible,137652.826435114,-436391.182570709
11171,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,single pane,combustible,combustible,134894.284976809,-440559.043815857
11172,palisades,no damage,asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,combustible,combustible,135315.89075947,-440246.261510951
11173,palisades,no damage,tile,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,combustible,non-combustible,135346.039408274,-439736.23447104
11174,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,single pane,combustible,combustible,135337.181439535,-440635.695902947
11175,palisades,destroyed (>50%),asphalt,n/a,masonry,n/a,n/a,n/a,n/a,combustible,n/a,135136.778986662,-440897.407590896
11176,palisades,no damage,asphalt,wood,masonry,wood,unenclosed,unscreened,single pane,combustible,combustible,135144.036774007,-440479.22882258
11177,palisades,no damage,n/a,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,130678.194189465,-440919.854351092
11178,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,n/a,134883.29484936,-440528.075294167
11179,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,<= 1/8 in,single pane,combustible,non-combustible,134965.790223676,-440489.080896039
11180,palisades,destroyed (>50%),n/a,masonry,masonry,n/a,n/a,n/a,n/a,combustible,n/a,133811.477902195,-440689.204324519
11181,palisades,destroyed (>50%),asphalt,n/a,n/a,wood,n/a,<= 1/8 in,single pane,combustible,combustible,135097.52437445,-440806.11021024
11182,palisades,destroyed (>50%),asphalt,masonry,masonry,wood,n/a,> 1/8 in,single pane,combustible,combustible,135000.329971197,-440384.369937122
11183,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,combustible,135001.815398078,-439657.896271309
11184,palisades,no damage,tile,masonry,masonry,wood,unenclosed,unscreened,single pane,n/a,combustible,123534.378053767,-440945.276095964
11185,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,> 1/8 in,multi pane,n/a,combustible,134980.949047909,-440578.318132168
11186,palisades,destroyed (>50%),metal,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,135089.321781364,-440056.200949997
11187,palisades,affected (>0-10%),asphalt,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,125633.741390066,-441012.650828978
11188,palisades,destroyed (>50%),asphalt,wood,masonry,n/a,n/a,n/a,single pane,combustible,combustible,135266.138742817,-440417.99741357
11189,palisades,affected (>0-10%),asphalt,masonry,masonry,wood,unenclosed,> 1/8 in,multi pane,non-combustible,combustible,124211.323567752,-440955.135610579
11190,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,single pane,n/a,n/a,135364.640268347,-440605.979195345
11191,palisades,affected (>0-10%),metal,masonry,masonry,masonry,enclosed,n/a,multi pane,n/a,non-combustible,132542.828873297,-440462.620667793
